Région,Département,NB_VP_RECHARGEABLES_EL,Nombre de bornes,population,IAB,IPA
Centre-Val de Loire,Indre,1455,257,218707,1.7663230240549828,0.011750881316098707
Centre-Val de Loire,Indre-et-Loire,14730,1346,612119,0.9137813985064495,0.02198918837676988
Centre-Val de Loire,Loir-et-Cher,5293,1153,329357,2.1783487625165314,0.03500760572873812
Centre-Val de Loire,Loiret,7589,865,682304,1.1398076162867308,0.012677633430259825
Corse,Corse-du-Sud,4411,320,160814,0.7254590795737927,0.019898765032895144
Corse,Haute-Corse,10292,199,182887,0.193354061406918,0.010881035830868241
Grand Est,Ardennes,2768,379,269701,1.3692196531791907,0.014052598989251057
Grand Est,Aube,5116,774,311435,1.5129007036747457,0.02485269799476616
Grand Est,Bas-Rhin,26520,1834,1148073,0.691553544494721,0.015974593950036278
Grand Est,Haut-Rhin,14827,1191,767842,0.8032643151008295,0.015511003565837761
Grand Est,Haute-Marne,1609,331,171798,2.0571783716594156,0.01926681335056287
Grand Est,Marne,10272,1236,566283,1.203271028037383,0.02182654255910914
Grand Est,Meurthe-et-Moselle,12747,1255,732590,0.984545383227426,0.017131000969164197
Grand Est,Meuse,1761,295,183001,1.6751845542305508,0.016120130491090214
Grand Est,Moselle,17952,2300,1049155,1.2811942959001783,0.02192240422053939
Grand Est,Vosges,5146,779,362397,1.51379712397979,0.02149576293401987
Hauts-de-France,Aisne,9836,606,528994,0.6161041073607157,0.01145570649194509
Hauts-de-France,Nord,56004,4190,2607746,0.748160845653882,0.01606751577799372
Hauts-de-France,Oise,17445,1315,829699,0.7537976497563772,0.015849121187322148
Hauts-de-France,Pas-de-Calais,20471,2116,1462167,1.0336573689609692,0.014471671156577874
Hauts-de-France,Somme,5471,1079,568748,1.9722171449460792,0.018971495284379022
Normandie,Calvados,15638,1824,697547,1.1663895638828494,0.02614877563805736
Normandie,Eure,7255,779,599668,1.0737422467263955,0.012990521421853425
Normandie,Manche,8771,1144,494452,1.3042982556150953,0.023136725101728782
Normandie,Orne,3434,459,278475,1.3366336633663367,0.01648262860220846
Normandie,Seine-Maritime,26860,1985,1254739,0.7390171258376769,0.01582002312831593
Nouvelle-Aquitaine,Charente,3888,592,351282,1.522633744855967,0.016852557204752875
Nouvelle-Aquitaine,Charente-Maritime,13139,1196,655709,0.9102671436182357,0.018239798447177023
